player_id,team_id,minutes_played,data
0Oq6woOxQ6,mKAqBBmqbg,1735,"[{'action_type': 'Claiming', 'goals_added_raw': 0.1343, 'goals_added_above_avg': 0.1423, 'count_actions': 24}, {'action_type': 'Fielding', 'goals_added_raw': -0.1875, 'goals_added_above_avg': -0.088, 'count_actions': 311}, {'action_type': 'Handling', 'goals_added_raw': -0.37120000000000003, 'goals_added_above_avg': -0.38180000000000003, 'count_actions': 47}, {'action_type': 'Passing', 'goals_added_raw': 0.9117000000000001, 'goals_added_above_avg': -0.187, 'count_actions': 530}, {'action_type': 'Shotstopping', 'goals_added_raw': -1.7848000000000002, 'goals_added_above_avg': -1.1661, 'count_actions': 80}, {'action_type': 'Sweeping', 'goals_added_raw': -0.30960000000000004, 'goals_added_above_avg': -0.28140000000000004, 'count_actions': 30}]"
0x5g2mYrM7,mKAqBBmqbg,203,"[{'action_type': 'Claiming', 'goals_added_raw': -0.009300000000000001, 'goals_added_above_avg': -0.0083, 'count_actions': 3}, {'action_type': 'Fielding', 'goals_added_raw': 0.005, 'goals_added_above_avg': 0.0166, 'count_actions': 36}, {'action_type': 'Handling', 'goals_added_raw': 0.1018, 'goals_added_above_avg': 0.10060000000000001, 'count_actions': 4}, {'action_type': 'Passing', 'goals_added_raw': 0.1852, 'goals_added_above_avg': 0.0567, 'count_actions': 67}, {'action_type': 'Shotstopping', 'goals_added_raw': 0.1535, 'goals_added_above_avg': 0.22590000000000002, 'count_actions': 6}, {'action_type': 'Sweeping', 'goals_added_raw': 0.0165, 'goals_added_above_avg': 0.0198, 'count_actions': 9}]"
0x5g2Z8ZM7,NPqxKXZ59d,1818,"[{'action_type': 'Claiming', 'goals_added_raw': 0.020900000000000002, 'goals_added_above_avg': 0.029300000000000003, 'count_actions': 15}, {'action_type': 'Fielding', 'goals_added_raw': -0.0017000000000000001, 'goals_added_above_avg': 0.10250000000000001, 'count_actions': 358}, {'action_type': 'Handling', 'goals_added_raw': -0.32330000000000003, 'goals_added_above_avg': -0.33440000000000003, 'count_actions': 68}, {'action_type': 'Passing', 'goals_added_raw': 0.9353, 'goals_added_above_avg': -0.216, 'count_actions': 568}, {'action_type': 'Shotstopping', 'goals_added_raw': -2.7799, 'goals_added_above_avg': -2.1316, 'count_actions': 100}, {'action_type': 'Sweeping', 'goals_added_raw': -0.9378000000000001, 'goals_added_above_avg': -0.9082, 'count_actions': 19}]"
0x5gP9Jjq7,0KPqjA456v,540,"[{'action_type': 'Claiming', 'goals_added_raw': 0.0041, 'goals_added_above_avg': 0.0066, 'count_actions': 3}, {'action_type': 'Fielding', 'goals_added_raw': -0.2543, 'goals_added_above_avg': -0.2233, 'count_actions': 80}, {'action_type': 'Handling', 'goals_added_raw': 0.0241, 'goals_added_above_avg': 0.020800000000000003, 'count_actions': 11}, {'action_type': 'Passing', 'goals_added_raw': 0.2801, 'goals_added_above_avg': -0.061900000000000004, 'count_actions': 148}, {'action_type': 'Shotstopping', 'goals_added_raw': -4.4516, 'goals_added_above_avg': -4.2591, 'count_actions': 23}, {'action_type': 'Sweeping', 'goals_added_raw': 0.1829, 'goals_added_above_avg': 0.19160000000000002, 'count_actions': 10}]"
0x5gZ9mM7O,KAqBN0Vqbg,1923,"[{'action_type': 'Claiming', 'goals_added_raw': 0.0316, 'goals_added_above_avg': 0.0405, 'count_actions': 14}, {'action_type': 'Fielding', 'goals_added_raw': -0.08020000000000001, 'goals_added_above_avg': 0.030100000000000002, 'count_actions': 409}, {'action_type': 'Handling', 'goals_added_raw': 0.1598, 'goals_added_above_avg': 0.1481, 'count_actions': 71}, {'action_type': 'Passing', 'goals_added_raw': 1.3647, 'goals_added_above_avg': 0.147, 'count_actions': 639}, {'action_type': 'Shotstopping', 'goals_added_raw': -1.0402, 'goals_added_above_avg': -0.35450000000000004, 'count_actions': 108}, {'action_type': 'Sweeping', 'goals_added_raw': -0.1915, 'goals_added_above_avg': -0.1603, 'count_actions': 29}]"
2lqRkwRnQr,EKXMeX3Q64,1313,"[{'action_type': 'Claiming', 'goals_added_raw': -0.0151, 'goals_added_above_avg': -0.009000000000000001, 'count_actions': 19}, {'action_type': 'Fielding', 'goals_added_raw': -0.0828, 'goals_added_above_avg': -0.007500000000000001, 'count_actions': 242}, {'action_type': 'Handling', 'goals_added_raw': 0.2738, 'goals_added_above_avg': 0.26580000000000004, 'count_actions': 46}, {'action_type': 'Passing', 'goals_added_raw': 0.7663000000000001, 'goals_added_above_avg': -0.0651, 'count_actions': 460}, {'action_type': 'Shotstopping', 'goals_added_raw': -2.5647, 'goals_added_above_avg': -2.0965, 'count_actions': 67}, {'action_type': 'Sweeping', 'goals_added_raw': -0.244, 'goals_added_above_avg': -0.2227, 'count_actions': 30}]"
2vQ1L20Oqr,kaDQ0wRqEv,1113,"[{'action_type': 'Claiming', 'goals_added_raw': 0.088, 'goals_added_above_avg': 0.0931, 'count_actions': 13}, {'action_type': 'Fielding', 'goals_added_raw': 0.0668, 'goals_added_above_avg': 0.1306, 'count_actions': 195}, {'action_type': 'Handling', 'goals_added_raw': 0.1269, 'goals_added_above_avg': 0.12010000000000001, 'count_actions': 32}, {'action_type': 'Passing', 'goals_added_raw': 0.4607, 'goals_added_above_avg': -0.2441, 'count_actions': 299}, {'action_type': 'Shotstopping', 'goals_added_raw': -4.0152, 'goals_added_above_avg': -3.6183, 'count_actions': 56}, {'action_type': 'Sweeping', 'goals_added_raw': -0.3522, 'goals_added_above_avg': -0.3341, 'count_actions': 15}]"
315VXNkGQ9,a2lqRX2Mr0,1920,"[{'action_type': 'Claiming', 'goals_added_raw': 0.1547, 'goals_added_above_avg': 0.1636, 'count_actions': 20}, {'action_type': 'Fielding', 'goals_added_raw': -0.047900000000000005, 'goals_added_above_avg': 0.062200000000000005, 'count_actions': 401}, {'action_type': 'Handling', 'goals_added_raw': -0.2006, 'goals_added_above_avg': -0.21230000000000002, 'count_actions': 64}, {'action_type': 'Passing', 'goals_added_raw': 1.0401, 'goals_added_above_avg': -0.1757, 'count_actions': 594}, {'action_type': 'Shotstopping', 'goals_added_raw': 5.7013, 'goals_added_above_avg': 6.386, 'count_actions': 87}, {'action_type': 'Sweeping', 'goals_added_raw': -0.0459, 'goals_added_above_avg': -0.014700000000000001, 'count_actions': 54}]"
4JMAaDp2MK,19vQ2095K6,1841,"[{'action_type': 'Claiming', 'goals_added_raw': 0.007, 'goals_added_above_avg': 0.0155, 'count_actions': 14}, {'action_type': 'Fielding', 'goals_added_raw': 0.0307, 'goals_added_above_avg': 0.13620000000000002, 'count_actions': 265}, {'action_type': 'Handling', 'goals_added_raw': -0.5683, 'goals_added_above_avg': -0.5795, 'count_actions': 50}, {'action_type': 'Passing', 'goals_added_raw': 0.8290000000000001, 'goals_added_above_avg': -0.33680000000000004, 'count_actions': 483}, {'action_type': 'Shotstopping', 'goals_added_raw': 2.2068, 'goals_added_above_avg': 2.8633, 'count_actions': 71}, {'action_type': 'Sweeping', 'goals_added_raw': -0.1072, 'goals_added_above_avg': -0.07730000000000001, 'count_actions': 24}]"
4JMAaogDMK,YgOMngl5wN,136,"[{'action_type': 'Claiming', 'goals_added_raw': 0.0037, 'goals_added_above_avg': 0.0043, 'count_actions': 2}, {'action_type': 'Fielding', 'goals_added_raw': 0.0031000000000000003, 'goals_added_above_avg': 0.0109, 'count_actions': 36}, {'action_type': 'Handling', 'goals_added_raw': -0.060700000000000004, 'goals_added_above_avg': -0.061500000000000006, 'count_actions': 4}, {'action_type': 'Passing', 'goals_added_raw': 0.08750000000000001, 'goals_added_above_avg': 0.0014, 'count_actions': 42}, {'action_type': 'Shotstopping', 'goals_added_raw': -0.33440000000000003, 'goals_added_above_avg': -0.2859, 'count_actions': 5}, {'action_type': 'Sweeping', 'goals_added_raw': 0.045200000000000004, 'goals_added_above_avg': 0.047400000000000005, 'count_actions': 5}]"
4wM4an045j,eVq3ya6MWO,101,"[{'action_type': 'Claiming', 'goals_added_raw': 0.0082, 'goals_added_above_avg': 0.0086, 'count_actions': 1}, {'action_type': 'Fielding', 'goals_added_raw': 0.0063, 'goals_added_above_avg': 0.012100000000000001, 'count_actions': 17}, {'action_type': 'Handling', 'goals_added_raw': 0, 'goals_added_above_avg': -0.0006000000000000001, 'count_actions': 0}, {'action_type': 'Passing', 'goals_added_raw': 0.0413, 'goals_added_above_avg': -0.022600000000000002, 'count_actions': 23}, {'action_type': 'Shotstopping', 'goals_added_raw': -0.16, 'goals_added_above_avg': -0.124, 'count_actions': 1}, {'action_type': 'Sweeping', 'goals_added_raw': 0.0082, 'goals_added_above_avg': 0.0098, 'count_actions': 1}]"
4wM4J01Nqj,zeQZkL1MKw,208,"[{'action_type': 'Claiming', 'goals_added_raw': 0, 'goals_added_above_avg': 0.001, 'count_actions': 0}, {'action_type': 'Fielding', 'goals_added_raw': -0.0035, 'goals_added_above_avg': 0.0085, 'count_actions': 51}, {'action_type': 'Handling', 'goals_added_raw': -0.014, 'goals_added_above_avg': -0.015300000000000001, 'count_actions': 3}, {'action_type': 'Passing', 'goals_added_raw': 0.11170000000000001, 'goals_added_above_avg': -0.02, 'count_actions': 70}, {'action_type': 'Shotstopping', 'goals_added_raw': -0.21780000000000002, 'goals_added_above_avg': -0.1436, 'count_actions': 5}, {'action_type': 'Sweeping', 'goals_added_raw': -0.0083, 'goals_added_above_avg': -0.0049, 'count_actions': 3}]"
4wM4JxWpqj,APk5LGOMOW,1804,"[{'action_type': 'Claiming', 'goals_added_raw': -0.5032, 'goals_added_above_avg': -0.4948, 'count_actions': 19}, {'action_type': 'Fielding', 'goals_added_raw': 0.1027, 'goals_added_above_avg': 0.20620000000000002, 'count_actions': 599}, {'action_type': 'Handling', 'goals_added_raw': -0.4863, 'goals_added_above_avg': -0.4973, 'count_actions': 60}, {'action_type': 'Passing', 'goals_added_raw': 1.1325, 'goals_added_above_avg': -0.0099, 'count_actions': 730}, {'action_type': 'Shotstopping', 'goals_added_raw': -0.9152, 'goals_added_above_avg': -0.27190000000000003, 'count_actions': 89}, {'action_type': 'Sweeping', 'goals_added_raw': 0.2122, 'goals_added_above_avg': 0.24150000000000002, 'count_actions': 26}]"
7vQ7rKGYqD,jYQJ19EqGR,200,"[{'action_type': 'Claiming', 'goals_added_raw': -0.19640000000000002, 'goals_added_above_avg': -0.1955, 'count_actions': 4}, {'action_type': 'Fielding', 'goals_added_raw': -0.012, 'goals_added_above_avg': -0.0005, 'count_actions': 28}, {'action_type': 'Handling', 'goals_added_raw': -0.1028, 'goals_added_above_avg': -0.10400000000000001, 'count_actions': 2}, {'action_type': 'Passing', 'goals_added_raw': 0.054400000000000004, 'goals_added_above_avg': -0.0722, 'count_actions': 42}, {'action_type': 'Shotstopping', 'goals_added_raw': -2.1082, 'goals_added_above_avg': -2.0369, 'count_actions': 8}, {'action_type': 'Sweeping', 'goals_added_raw': 0.0212, 'goals_added_above_avg': 0.0244, 'count_actions': 3}]"
