player_id,team_id,general_position,minutes_played,data
0Oq624oPq6,jYQJ19EqGR,FB,801,"[{'action_type': 'Dribbling', 'goals_added_raw': 0.1184, 'goals_added_above_avg': 0.050800000000000005, 'count_actions': 127}, {'action_type': 'Fouling', 'goals_added_raw': -0.0998, 'goals_added_above_avg': -0.075, 'count_actions': 12}, {'action_type': 'Interrupting', 'goals_added_raw': 0.9306000000000001, 'goals_added_above_avg': 0.43060000000000004, 'count_actions': 104}, {'action_type': 'Passing', 'goals_added_raw': 0.2968, 'goals_added_above_avg': 0.0099, 'count_actions': 403}, {'action_type': 'Receiving', 'goals_added_raw': 0.2197, 'goals_added_above_avg': -0.0315, 'count_actions': 278}, {'action_type': 'Shooting', 'goals_added_raw': 0.10490000000000001, 'goals_added_above_avg': -0.023100000000000002, 'count_actions': 5}]"
0Oq630dXQ6,pzeQZ6xQKw,W,861,"[{'action_type': 'Dribbling', 'goals_added_raw': -0.24530000000000002, 'goals_added_above_avg': -0.3259, 'count_actions': 85}, {'action_type': 'Fouling', 'goals_added_raw': -0.043000000000000003, 'goals_added_above_avg': -0.1275, 'count_actions': 31}, {'action_type': 'Interrupting', 'goals_added_raw': 0.3924, 'goals_added_above_avg': -0.0054, 'count_actions': 56}, {'action_type': 'Passing', 'goals_added_raw': -0.4399, 'goals_added_above_avg': -0.41400000000000003, 'count_actions': 163}, {'action_type': 'Receiving', 'goals_added_raw': 1.1265, 'goals_added_above_avg': 0.049, 'count_actions': 166}, {'action_type': 'Shooting', 'goals_added_raw': 0.30360000000000004, 'goals_added_above_avg': -0.1714, 'count_actions': 13}]"
0Oq632k7Q6,jYQJ19EqGR,CM,399,"[{'action_type': 'Dribbling', 'goals_added_raw': -0.005200000000000001, 'goals_added_above_avg': -0.050300000000000004, 'count_actions': 72}, {'action_type': 'Fouling', 'goals_added_raw': 0.0526, 'goals_added_above_avg': 0.0386, 'count_actions': 15}, {'action_type': 'Interrupting', 'goals_added_raw': 0.2587, 'goals_added_above_avg': 0.017400000000000002, 'count_actions': 32}, {'action_type': 'Passing', 'goals_added_raw': 0.0274, 'goals_added_above_avg': -0.0727, 'count_actions': 329}, {'action_type': 'Receiving', 'goals_added_raw': 0.2346, 'goals_added_above_avg': -0.031200000000000002, 'count_actions': 290}, {'action_type': 'Shooting', 'goals_added_raw': 0.08320000000000001, 'goals_added_above_avg': -0.059500000000000004, 'count_actions': 8}]"
0Oq63DL6Q6,jYQJ19EqGR,FB,33,"[{'action_type': 'Dribbling', 'goals_added_raw': 0, 'goals_added_above_avg': -0.0025, 'count_actions': 0}, {'action_type': 'Fouling', 'goals_added_raw': 0, 'goals_added_above_avg': 0.0014, 'count_actions': 0}, {'action_type': 'Interrupting', 'goals_added_raw': 0.018000000000000002, 'goals_added_above_avg': -0.0031000000000000003, 'count_actions': 4}, {'action_type': 'Passing', 'goals_added_raw': 0.0097, 'goals_added_above_avg': -0.0032, 'count_actions': 11}, {'action_type': 'Receiving', 'goals_added_raw': 0.0001, 'goals_added_above_avg': -0.008, 'count_actions': 6}, {'action_type': 'Shooting', 'goals_added_raw': 0, 'goals_added_above_avg': -0.004200000000000001, 'count_actions': 0}]"
0Oq63JA7Q6,19vQ2095K6,CB,329,"[{'action_type': 'Dribbling', 'goals_added_raw': 0.025500000000000002, 'goals_added_above_avg': 0.0196, 'count_actions': 42}, {'action_type': 'Fouling', 'goals_added_raw': 0.0077, 'goals_added_above_avg': 0.0414, 'count_actions': 2}, {'action_type': 'Interrupting', 'goals_added_raw': 0.2675, 'goals_added_above_avg': 0.0099, 'count_actions': 56}, {'action_type': 'Passing', 'goals_added_raw': 0.1262, 'goals_added_above_avg': -0.0562, 'count_actions': 175}, {'action_type': 'Receiving', 'goals_added_raw': 0.1008, 'goals_added_above_avg': 0.028900000000000002, 'count_actions': 138}, {'action_type': 'Shooting', 'goals_added_raw': 0.062200000000000005, 'goals_added_above_avg': 0.0258, 'count_actions': 2}]"
0Oq63P32Q6,eVq3ya6MWO,CB,500,"[{'action_type': 'Dribbling', 'goals_added_raw': -0.0195, 'goals_added_above_avg': -0.0396, 'count_actions': 38}, {'action_type': 'Fouling', 'goals_added_raw': -0.0158, 'goals_added_above_avg': 0.0219, 'count_actions': 7}, {'action_type': 'Interrupting', 'goals_added_raw': 0.6878000000000001, 'goals_added_above_avg': 0.3206, 'count_actions': 81}, {'action_type': 'Passing', 'goals_added_raw': 0.2393, 'goals_added_above_avg': -0.0032, 'count_actions': 316}, {'action_type': 'Receiving', 'goals_added_raw': 0.1231, 'goals_added_above_avg': -0.0033, 'count_actions': 266}, {'action_type': 'Shooting', 'goals_added_raw': 0.01, 'goals_added_above_avg': -0.0568, 'count_actions': 1}]"
0Oq63YndQ6,zeQZBOzQKw,ST,1379,"[{'action_type': 'Dribbling', 'goals_added_raw': -0.3791, 'goals_added_above_avg': -0.3559, 'count_actions': 159}, {'action_type': 'Fouling', 'goals_added_raw': 0.33240000000000003, 'goals_added_above_avg': 0.25, 'count_actions': 52}, {'action_type': 'Interrupting', 'goals_added_raw': 0.8065, 'goals_added_above_avg': 0.07690000000000001, 'count_actions': 89}, {'action_type': 'Passing', 'goals_added_raw': 0.179, 'goals_added_above_avg': 0.149, 'count_actions': 587}, {'action_type': 'Receiving', 'goals_added_raw': 2.271, 'goals_added_above_avg': 0.6692, 'count_actions': 561}, {'action_type': 'Shooting', 'goals_added_raw': 0.41550000000000004, 'goals_added_above_avg': -0.2421, 'count_actions': 19}]"
0Oq6712Q6D,NPqxKXZ59d,DM,2018,"[{'action_type': 'Dribbling', 'goals_added_raw': -0.013800000000000002, 'goals_added_above_avg': -0.2162, 'count_actions': 243}, {'action_type': 'Fouling', 'goals_added_raw': 0.06860000000000001, 'goals_added_above_avg': 0.1365, 'count_actions': 40}, {'action_type': 'Interrupting', 'goals_added_raw': 1.7512, 'goals_added_above_avg': 0.2406, 'count_actions': 162}, {'action_type': 'Passing', 'goals_added_raw': 0.9895, 'goals_added_above_avg': 0.1312, 'count_actions': 1249}, {'action_type': 'Receiving', 'goals_added_raw': 0.49060000000000004, 'goals_added_above_avg': -0.1517, 'count_actions': 994}, {'action_type': 'Shooting', 'goals_added_raw': 0.2089, 'goals_added_above_avg': -0.1995, 'count_actions': 10}]"
0Oq6ENn256,jYQJ19EqGR,ST,910,"[{'action_type': 'Dribbling', 'goals_added_raw': -0.7178, 'goals_added_above_avg': -0.5581, 'count_actions': 84}, {'action_type': 'Fouling', 'goals_added_raw': 0.0886, 'goals_added_above_avg': -0.0273, 'count_actions': 35}, {'action_type': 'Interrupting', 'goals_added_raw': 0.5697, 'goals_added_above_avg': 0.2432, 'count_actions': 31}, {'action_type': 'Passing', 'goals_added_raw': -0.732, 'goals_added_above_avg': -0.432, 'count_actions': 137}, {'action_type': 'Receiving', 'goals_added_raw': 3.2119, 'goals_added_above_avg': 1.3881000000000001, 'count_actions': 161}, {'action_type': 'Shooting', 'goals_added_raw': 0.9247000000000001, 'goals_added_above_avg': 0.2733, 'count_actions': 29}]"
0Oq6LeJ7M6,a2lqR4JMr0,CB,798,"[{'action_type': 'Dribbling', 'goals_added_raw': -0.0316, 'goals_added_above_avg': -0.054200000000000005, 'count_actions': 116}, {'action_type': 'Fouling', 'goals_added_raw': 0.0076, 'goals_added_above_avg': 0.08070000000000001, 'count_actions': 11}, {'action_type': 'Interrupting', 'goals_added_raw': 0.5796, 'goals_added_above_avg': -0.024200000000000003, 'count_actions': 117}, {'action_type': 'Passing', 'goals_added_raw': 0.35150000000000003, 'goals_added_above_avg': -0.06720000000000001, 'count_actions': 442}, {'action_type': 'Receiving', 'goals_added_raw': 0.1752, 'goals_added_above_avg': -0.0031000000000000003, 'count_actions': 354}, {'action_type': 'Shooting', 'goals_added_raw': 0.0309, 'goals_added_above_avg': -0.059800000000000006, 'count_actions': 4}]"
