player_id,player_name,birth_date,nationality,primary_broad_position,primary_general_position,secondary_broad_position,secondary_general_position,season_name,height_ft,height_in,weight_lb,competition
0Oq6006M6D,Ugo Ihemelu,1983-04-03,USA,,,,,{},6.0,0.0,179.0,mls
0Oq60APM6D,Jason Hernandez,1983-08-26,USA,DF,CB,,,"['2013', '2014', '2015', '2016', '2017', '2018']",5.0,11.0,172.0,mls
0Oq60VgM6D,Jeff Larentowicz,1983-08-05,USA,MF,DM,,CM,"['2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']",6.0,1.0,176.0,mls
0Oq624oPq6,Kalani Kossa-Rienzi,2002-06-27,USA,DF,FB,,,"['2024', '2025']",5.0,8.0,150.0,mls
0Oq62GYAq6,Oscar Herrera,2002-03-28,USA,,,,,{},,,,mls
0Oq62Y3zq6,Isaac Walker,2000-07-03,USA,,,,,{},,,,mls
0Oq630dXQ6,Kévin Cabral,1999-07-10,France,MF,W,,,"['2021', '2022', '2023', '2024', '2025']",,,,mls
0Oq632k7Q6,Danny Leyva,2003-05-05,USA,MF,CM,,DM,"['2019', '2020', '2021', '2022', '2023', '2024', '2025']",5.0,10.0,139.0,mls
0Oq633dAQ6,Griffin Yow,2002-09-25,USA,MF,W,,,"['2019', '2020', '2021', '2022']",5.0,8.0,141.0,mls
0Oq633E7Q6,Abdi Salim,2001-04-01,USA,DF,CB,,,2023,,,,mls
0Oq638a6Q6,Dominick Hernandez,1998-09-21,USA,,,,,{},,,,mls
0Oq638wrQ6,Edward Berumen,2001-05-19,USA,,,,,{},5.0,8.0,146.0,mls
0Oq639wzQ6,Nicholas Holliday,2006-01-17,USA,,,,,{},5.0,11.0,170.0,mls
0Oq63D6xQ6,Anthony Ramirez,2004-10-22,USA,,,,,{},,,,mls
0Oq63DL6Q6,Cody Baker,2004-01-07,USA,DF,FB,,,"['2023', '2024', '2025']",5.0,10.0,154.0,mls
0Oq63JA7Q6,Wyatt Omsberg,1995-09-21,USA,DF,CB,,,"['2018', '2020', '2021', '2022', '2023', '2024', '2025']",6.0,4.0,181.0,mls
0Oq63lbzQ6,Themi Antonoglou,2001-06-02,Canada,DF,FB,,,"['2022', '2023']",5.0,6.0,126.0,mls
0Oq63n7Q6D,Eric Hassli,1981-05-03,France,FW,ST,,,2013,6.0,4.0,201.0,mls
0Oq63oxzQ6,Aiden McFadden,1998-09-28,USA,DF,FB,,,2022,5.0,9.0,165.0,mls
0Oq63P32Q6,Nkosi Tafari,1997-03-23,USA,DF,CB,,,"['2021', '2022', '2023', '2024', '2025']",6.0,4.0,185.0,mls
0Oq63pJdQ6,Steeven Saba,1993-02-24,Haiti,,,,,{},5.0,7.0,,mls
0Oq63v4rQ6,Casey Walls,2003-01-10,USA,,,,,{},6.0,2.0,172.0,mls
0Oq63Ym2Q6,Ryan Spaulding,1998-09-10,USA,DF,FB,,,"['2022', '2023', '2024']",5.0,8.0,165.0,mls
0Oq63YndQ6,Onni Valakari,1999-08-18,Finland,FW,ST,MF,CM,2025,6.0,2.0,168.0,mls
0Oq6712Q6D,Ashley Westwood,1990-04-01,England,MF,DM,,,"['2023', '2024', '2025']",5.0,9.0,176.0,mls
0Oq67EgQ6D,Matt Besler,1987-02-11,USA,DF,CB,,,"['2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021']",6.0,0.0,172.0,mls
0Oq67k7Q6D,Tristan Bowen,1991-01-31,USA,FW,ST,MF,W,"['2013', '2014']",5.0,11.0,172.0,mls
0Oq67xxQ6D,Brandon Barklage,1986-11-02,USA,DF,FB,,,"['2013', '2014']",5.0,11.0,165.0,mls
0Oq6aoX56D,Cedrick,1992-03-08,DR Congo,MF,W,,,"['2015', '2016']",5.0,6.0,137.0,mls
0Oq6bAPq6D,Douglas Costa,1990-09-14,Brazil,MF,W,,,"['2022', '2023']",5.0,8.0,154.0,mls
0Oq6BKAq6D,Caleb Patterson-Sewell,1987-05-20,USA,,,,,{},6.0,3.0,183.0,mls
0Oq6ebd56D,Marco Pappa,1987-11-15,Guatemala,MF,W,,,"['2014', '2015', '2016']",5.0,10.0,157.0,mls
0Oq6ENn256,Danny Musovski,1995-11-30,USA,FW,ST,,,"['2020', '2021', '2022', '2023', '2024', '2025']",6.0,0.0,161.0,mls
0Oq6ERe256,Patrick Metcalfe,1998-11-11,Canada,MF,CM,,,"['2020', '2021']",5.0,8.0,165.0,mls
0Oq6Ervr56,Shaft Brewer,1999-10-28,USA,DF,FB,,,"['2018', '2019']",5.0,9.0,154.0,mls
0Oq6l2JzM6,Armando Cooper,1987-11-26,Panama,MF,CM,,,"['2016', '2017']",5.0,9.0,150.0,mls
0Oq6l8YgM6,Romain Métanire,1990-03-28,Madagascar,DF,FB,,,"['2019', '2020', '2021', '2022']",5.0,10.0,159.0,mls
0Oq6la47M6,Pecka,1989-05-02,Brazil,MF,DM,,CM,2015,5.0,8.0,152.0,mls
0Oq6lagAM6,Mark Pais,1991-06-03,USA,,,,,{},6.0,4.0,201.0,mls
0Oq6lakAM6,Ben Newnam,1991-04-18,USA,DF,FB,,,2015,5.0,10.0,165.0,mls
0Oq6lB9PM6,Christiano François,1993-07-17,USA,,,,,{},5.0,7.0,141.0,mls
0Oq6lBP2M6,Schillo Tshuma,1992-09-21,Zimbabwe,,,,,{},5.0,10.0,161.0,mls
0Oq6lDAgM6,Deian Boldor,1995-02-03,Romania,DF,CB,,,2017,6.0,2.0,174.0,mls
0Oq6LDjxM6,Rodrigo Antonio Neri González,2005-05-12,USA,,,,,{},,,,mls
0Oq6lE7xM6,Bernardo Añor,1988-05-24,Venezuela,MF,W,,,"['2013', '2014', '2015']",6.0,1.0,179.0,mls
0Oq6LeJ7M6,Philip Quinton,1999-11-16,USA,DF,CB,,,"['2023', '2024', '2025']",,,,mls
0Oq6lgl6M6,Nicolai Næss,1993-01-18,Norway,DF,CB,,,"['2016', '2017']",6.0,0.0,181.0,mls
0Oq6LgZgM6,Justin Ellis,2007-05-14,USA,FW,ST,,,2025,,,,mls
0Oq6lj26M6,Samuel,1991-02-25,Brazil,FW,ST,,,2014,6.0,1.0,192.0,mls
0Oq6lJPzM6,Joe Corona,1990-07-09,USA,MF,CM,,DM,"['2019', '2020', '2021']",5.0,8.0,161.0,mls
0Oq6LkVdM6,Axel Essengue,,USA,,,,,{},,,,mls
0Oq6lLZgM6,Maximiliano Urruti,1991-02-22,Argentina,FW,ST,,,"['2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2025']",6.0,0.0,165.0,mls
0Oq6lm4zM6,Rodolfo Pizarro,1994-02-15,Mexico,MF,AM,,,"['2020', '2021', '2023']",5.0,10.0,143.0,mls
0Oq6ln0zM6,Emery Welshman,1991-11-09,USA,FW,ST,,,2013,5.0,11.0,181.0,mls
0Oq6lnBrM6,Luis Solignac,1991-02-16,Argentina,MF,W,FW,ST,"['2015', '2016', '2017', '2018']",6.0,0.0,176.0,mls
0Oq6lnlrM6,José Van Rankin,1993-03-14,Mexico,DF,FB,,,"['2021', '2022']",5.0,9.0,152.0,mls
0Oq6lp3AM6,Antoine Hoppenot,1990-11-23,USA,FW,ST,MF,W,"['2013', '2014', '2015']",5.0,8.0,157.0,mls
0Oq6lp3XM6,Enzo Martinez,1990-09-29,Uruguay,MF,CM,,,2018,5.0,7.0,161.0,mls
0Oq6LpK2M6,Wayne Frederick,2004-06-13,Trinidad & Tobago,MF,CM,,DM,"['2024', '2025']",,,,mls
0Oq6LpLgM6,Gino Portella,2001-03-19,Italy,,,,,{},,,,mls
0Oq6lrerM6,Gastón Giménez,1991-07-27,Argentina,MF,DM,,,"['2020', '2021', '2022', '2023', '2024']",6.0,2.0,181.0,mls
0Oq6lw6M6D,Frank Lampard,1978-06-20,England,MF,CM,,,"['2015', '2016']",6.0,0.0,196.0,mls
