"","Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"","Hugo Cuypers","CHI","2025","ST","1182","0.80","0.10","0.18","-0.12","1.91","0.66","3.54"
"","Lionel Messi","MIA","2025","ST","952","0.72","0.13","-0.05","1.20","0.56","0.87","3.43"
"","Dénis Bouanga","LAFC","2025","W","1246","1.52","0.39","-0.10","-0.18","0.66","0.70","2.99"
"","Noah Eile","NYRB","2025","CB","1354","0.48","0.07","1.85","0.28","-0.05","0.17","2.80"
"","Cristian Espinoza","SJE","2025","FB","1304","0.38","0.02","-0.09","1.35","0.44","0.12","2.21"
"","Sam Surridge","NSH","2025","ST","1333","0.66","0.37","-0.12","0.25","0.79","0.13","2.09"
"","Andrew Gutman","CHI","2025","FB","1178","0.14","0.55","0.98","0.00","0.06","0.11","1.84"
"","Yevhen Cheberko","CLB","2025","CB","1023","0.51","-0.14","0.50","1.00","-0.04","-0.03","1.80"
"","Christian Benteke","DCU","2025","ST","1009","-0.10","0.12","-0.11","-0.71","1.92","0.68","1.80"
"","Evander","CIN","2025","AM","1057","0.79","0.41","-0.06","0.12","-0.13","0.46","1.58"
"","Christopher McVey","SD","2025","CB","1417","0.07","0.11","0.71","0.27","0.33","0.09","1.58"
"","Kelvin Yeboah","MIN","2025","ST","997","0.14","-0.20","0.21","0.36","0.57","0.46","1.54"
"","Anders Dreyer","SD","2025","W","1366","-0.15","0.01","-0.41","0.63","0.97","0.49","1.53"
"","Alexander Freeman","ORL","2025","FB","1355","0.38","0.08","-0.01","-0.42","1.16","0.30","1.49"
"","Brian White","VAN","2025","ST","981","-1.10","0.20","-0.17","-0.04","2.31","0.30","1.49"
"","Luciano Acosta","FCD","2025","AM","1220","0.48","0.46","-0.04","0.98","-0.26","-0.17","1.45"
"","Hirving Lozano","SD","2025","W","878","0.31","0.11","-0.05","0.14","0.53","0.41","1.45"
"","Jack Elliott","CHI","2025","CB","1218","-0.05","-0.20","0.96","0.23","0.30","0.08","1.33"
"","Bruno Damiani","PHI","2025","ST","743","-0.19","-0.03","0.49","-0.09","0.79","0.35","1.32"
"","Albert Rusnák","SEA","2025","W","1003","0.31","-0.10","-0.34","0.88","0.17","0.40","1.31"
