"","Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"","Elvis Amoh","IND","2025","ST","301","-0.03","0.06","0.55","0.40","0.60","0.18","1.76"
"","Taylor Calheira","TUL","2025","ST","782","1.29","0.17","-0.10","0.10","0.01","0.29","1.75"
"","Juan Torres","CHS","2025","W","867","-0.00","-0.02","0.13","1.71","-0.59","0.47","1.71"
"","Phillip Goodrum","LOU","2025","ST","662","0.60","0.29","0.24","-0.12","0.18","0.23","1.41"
"","Mayele Malango","MB","2025","W","702","0.40","-0.05","0.33","0.27","0.30","0.06","1.30"
"","Matthew Mahoney","COS","2025","CB","1003","0.20","0.10","0.53","0.29","0.01","0.06","1.19"
"","Peter Wilson","OAK","2025","ST","826","0.67","0.28","0.18","-0.01","-0.06","0.07","1.12"
"","Wilmer Cabrera","ELP","2025","W","725","0.56","0.02","0.01","-0.07","0.24","0.30","1.06"
"","Taylor Davila","LOU","2025","CM","880","0.23","0.01","0.27","0.42","-0.04","0.14","1.03"
"","Pacifique Niyongabire","TBR","2025","FB","600","0.52","0.01","0.13","0.04","0.23","0.05","0.99"
"","J.J. Williams","RI","2025","ST","435","0.18","-0.04","-0.20","0.17","0.74","0.12","0.96"
"","Arturo Ortíz","ELP","2025","CB","680","0.25","-0.03","0.36","0.31","-0.02","0.08","0.96"
"","Damian Rivera","PHX","2025","W","568","0.63","0.05","-0.09","0.23","0.03","0.09","0.94"
"","Hope Avayevu","PHX","2025","CM","815","-0.69","0.02","0.28","0.73","0.41","0.19","0.93"
"","Abdellatif Aboukoura","LDN","2025","W","877","0.12","0.19","-0.04","0.53","-0.11","0.16","0.86"
"","Cameron Dunbar","OC","2025","W","354","0.32","0.03","0.02","-0.02","0.24","0.19","0.79"
"","Daltyn Knutson","MIA","2025","CB","713","0.19","0.02","0.33","-0.04","0.21","0.07","0.78"
"","Jake LaCava","SA","2025","W","598","0.13","0.23","-0.04","-0.04","0.34","0.07","0.69"
"","Riley Bidois","LDN","2025","ST","385","-0.01","-0.04","-0.03","-0.12","0.64","0.18","0.62"
"","Wesley Leggett","LDN","2025","W","559","0.37","-0.02","-0.08","-0.19","0.38","0.11","0.57"
"","Jonas Fjeldberg","COS","2025","W","204","-0.06","0.23","0.17","0.05","-0.00","0.17","0.56"
"","Forrest Lasso","TBR","2025","CB","498","-0.01","0.08","0.48","-0.05","0.08","-0.01","0.56"
"","Amando Moreno","ELP","2025","W","940","0.13","-0.11","-0.14","-0.08","0.61","0.13","0.55"
"","Axel Essengue","PHX","2025","CB","304","0.03","0.01","0.46","0.06","0.01","-0.03","0.55"
"","Joseph Farrell","HFD","2025","CB","657","0.00","0.06","0.15","0.21","0.15","-0.04","0.53"
"","Christopher Hegardt","OC","2025","ST","545","0.40","-0.01","-0.02","0.04","0.09","0.03","0.53"
"","Sean Suber","PIT","2025","CB","899","0.07","0.16","-0.30","0.32","0.17","0.09","0.51"
"","Lee Desmond","SAC","2025","CB","390","0.14","0.29","-0.12","0.14","0.04","0.02","0.51"
"","Juan Sebastián Herrera","SAC","2025","ST","566","-0.15","0.25","-0.16","-0.39","0.99","-0.04","0.50"
"","Russell Cicerone","SAC","2025","ST","693","0.06","-0.08","-0.03","0.09","0.40","0.05","0.49"
"","Matt Myers","CHS","2025","AM","477","-0.04","0.24","-0.12","-0.57","0.72","0.26","0.49"
"","Clay Holstad","RI","2025","CM","778","0.02","0.07","0.47","0.07","-0.13","-0.01","0.49"
"","Jon-Talen Maples","NM","2025","CB","907","0.33","0.05","0.05","0.24","-0.09","-0.10","0.48"
"","Aiden McFadden","LOU","2025","FB","572","-0.14","0.05","-0.20","-0.02","0.51","0.27","0.48"
"","Luis Paredes","SA","2025","W","456","0.25","-0.01","0.05","-0.04","0.10","0.10","0.46"
"","Kobe Hernandez-Foster","BHM","2025","CM","765","-0.20","-0.01","-0.00","0.64","-0.12","0.14","0.44"
"","Alex Villanueva","DET","2025","FB","819","0.25","0.03","0.11","-0.18","0.22","0.01","0.44"
"","Tom Brewitt","OC","2025","CB","848","-0.04","-0.14","0.60","-0.08","0.08","0.03","0.44"
"","Maliek Howell","LV","2025","CB","672","-0.06","0.03","0.62","-0.16","0.03","-0.01","0.44"
"","Paul Gindiri","MB","2025","ST","901","0.07","0.01","-0.07","-0.05","0.71","-0.23","0.44"
"","Robert Castellanos","TBR","2025","CB","726","0.11","0.10","-0.26","0.29","0.12","0.06","0.44"
"","Michael Maldonado","NC","2025","CM","960","-0.09","0.05","-0.07","0.96","-0.28","-0.13","0.44"
"","Darius Johnson","PHX","2025","W","188","-0.06","0.00","0.46","-0.02","-0.07","0.12","0.43"
"","Haruki Yamazaki","DET","2025","FB","122","-0.00","-0.01","0.21","0.26","-0.01","-0.02","0.42"
"","Oalex Anderson","NC","2025","ST","435","0.27","0.01","-0.16","0.02","0.13","0.15","0.42"
"","Pedro Santos","LDN","2025","W","491","-0.10","0.25","0.11","0.17","-0.03","0.01","0.41"
"","Justin Rasmussen","OAK","2025","FB","372","-0.06","-0.02","0.34","0.26","-0.06","-0.05","0.41"
"","Stephen Carroll","DET","2025","CB","799","0.10","0.07","0.13","0.27","-0.14","-0.03","0.40"
"","Paco Craig","NC","2025","CB","645","-0.03","-0.27","0.57","-0.15","0.26","0.01","0.40"
"","Woobens Pacius","TBR","2025","ST","767","0.29","-0.07","0.02","0.32","-0.11","-0.06","0.40"
"","Mitchell Taintor","SA","2025","CB","665","0.13","0.06","0.15","0.23","-0.15","-0.03","0.39"
"","Michael Bryant","DET","2025","CB","968","0.05","0.11","-0.15","0.48","-0.11","-0.01","0.38"
"","Arturo Rodriguez","CHS","2025","W","437","0.06","0.55","0.00","-0.19","-0.05","-0.02","0.37"
"","Braudílio Rodrigues","LEX","2025","W","528","0.06","-0.07","-0.02","0.20","0.14","0.04","0.37"
"","Delentz Pierre","TUL","2025","CB","439","-0.19","0.06","0.16","-0.01","0.30","0.05","0.37"
"","Rubio Rubín","CHS","2025","ST","80","0.26","-0.01","-0.16","0.07","0.17","0.03","0.36"
"","Daniel Carter","ELP","2025","W","81","-0.05","0.02","-0.04","0.01","0.33","0.09","0.36"
"","Roberto Ydrach","PIT","2025","CB","772","-0.01","0.09","-0.13","0.36","0.08","-0.04","0.35"
"","Collin Smith","PHX","2025","FB","964","-0.11","0.11","-0.01","0.13","0.16","0.08","0.35"
"","Nick Moon","TBR","2025","FB","144","0.13","0.01","0.02","0.05","0.04","0.10","0.34"
"","Jack Blake","IND","2025","AM","728","-0.08","0.19","0.11","-0.11","0.12","0.12","0.34"
"","Cal Jennings","CHS","2025","ST","764","-1.06","0.18","0.20","-0.36","1.06","0.33","0.33"
"","Bryce Jamison","OC","2025","W","365","0.13","-0.04","-0.05","-0.06","0.20","0.16","0.33"
"","Luiz Fernando","NM","2025","W","690","0.35","-0.08","-0.00","-0.15","0.29","-0.09","0.32"
"","Bruno Manuel Rendón","IND","2025","W","330","0.02","-0.03","0.20","-0.04","0.16","0.00","0.32"
"","Anthony Herbert","NM","2025","CB","128","0.02","-0.06","0.24","0.11","-0.01","0.00","0.32"
"","Jimmy Medranda","SA","2025","FB","872","-0.16","-0.23","0.19","0.66","-0.27","0.12","0.31"
"","Tyler Pasher","BHM","2025","W","400","0.21","0.04","-0.06","0.24","-0.08","-0.06","0.30"
"","Emil Cuello","PHX","2025","FB","297","0.02","0.02","0.30","0.08","-0.08","-0.04","0.30"
"","Nico Benalcazar","OC","2025","CM","908","-0.03","0.05","0.14","-0.03","0.06","0.10","0.29"
"","Quenzi Huerman","COS","2025","W","421","0.32","0.24","-0.06","-0.10","-0.10","-0.01","0.29"
"","Leo Fernandes","TBR","2025","W","301","0.13","0.15","0.01","0.09","-0.10","0.01","0.29"
"","Lamar Batista","TUL","2025","CB","916","0.06","0.33","0.12","-0.33","0.04","0.06","0.28"
"","Aimé Mabika","RI","2025","CB","187","0.14","0.02","0.13","-0.01","0.01","-0.02","0.28"
"","Kyle Edwards","HFD","2025","ST","209","0.13","-0.01","-0.01","-0.10","0.17","0.09","0.28"
"","Anton Sojberg Horup","MB","2025","ST","564","0.10","-0.08","0.13","0.41","-0.32","0.04","0.28"
"","Alejandro Mitrano","MIA","2025","FB","403","0.05","-0.04","0.23","0.13","-0.04","-0.06","0.27"
"","Preston Tabort Etaka","BHM","2025","W","499","0.33","-0.02","0.01","0.15","-0.22","0.03","0.27"
