"","Player","Team","Season","Minutes","Claiming","Fielding","Handling","Passing","Shotstopping","Sweeping","Goals Added"
"","Zack Steffen","COL","2025","1124","0.04","0.11","0.42","-0.04","5.57","0.08","6.18"
"","Matt Freese","NYC","2025","1403","0.03","0.09","0.42","-0.22","4.26","0.06","4.64"
"","Rafael Cabral","RSL","2025","1430","-0.02","-0.10","-0.06","0.08","4.51","0.19","4.61"
"","Roman Celentano","CIN","2025","1387","0.08","-0.04","0.09","-0.22","4.74","-0.24","4.40"
"","Carlos Coronel","NYRB","2025","1303","0.16","0.04","-0.23","-0.04","4.07","-0.18","3.83"
"","CJ dos Santos","SD","2025","1417","0.06","-0.25","-0.26","-0.25","4.11","0.31","3.73"
"","Daniel","SJE","2025","1178","0.13","-0.40","0.08","-0.03","3.13","0.06","2.96"
"","Dayne St. Clair","MIN","2025","1296","-0.01","0.03","0.12","0.18","2.52","0.05","2.89"
"","Aljaž Ivačič","NER","2025","1222","0.00","0.10","-0.57","-0.22","3.66","-0.09","2.87"
"","Yohei Takaoka","VAN","2025","1313","0.04","0.07","-0.05","0.05","2.94","-0.35","2.70"
"","Brad Guzan","ATL","2025","1412","0.06","-0.01","-0.01","0.19","2.44","0.02","2.69"
"","James Pantemis","POR","2025","907","-0.05","0.09","-0.10","0.10","2.35","0.29","2.68"
"","Jonathan Sirois","MTL","2025","1200","-0.29","0.15","-0.31","0.02","2.64","0.08","2.29"
"","Sean Johnson","TOR","2025","1411","0.06","-0.03","-0.39","-0.32","3.16","-0.24","2.25"
"","Pedro Gallese","ORL","2025","1316","0.06","0.11","-0.36","-0.36","2.55","0.10","2.09"
"","Blake Gillingham","HOU","2025","330","-0.24","0.03","0.03","-0.06","2.21","0.01","1.98"
"","Patrick Schulte","CLB","2025","1308","-0.05","0.07","0.17","0.20","1.71","-0.26","1.86"
"","Chris Brady","CHI","2025","1151","0.06","0.06","-0.12","-0.12","1.46","-0.08","1.27"
"","Brad Stuver","ATX","2025","1406","0.13","0.15","0.49","0.18","0.21","0.00","1.16"
"","Adam Beaudry","COL","2025","96","0.00","0.01","-0.01","0.02","0.80","0.01","0.83"
"","Luis Barraza","DCU","2025","698","-0.01","0.06","0.15","-0.04","1.00","-0.46","0.71"
"","Roman Bürki","STL","2025","486","0.13","0.04","-0.71","0.04","0.80","0.13","0.43"
"","Michael Collodi","FCD","2025","203","-0.01","0.02","0.10","0.06","0.22","0.02","0.41"
"","Andre Blake","PHI","2025","918","-0.09","0.04","0.07","-0.23","0.58","0.05","0.41"
"","Stefan Frei","SEA","2025","1216","0.07","0.02","0.07","-0.23","0.36","0.05","0.33"
"","Rocco Rios Novo","MIA","2025","160","0.00","0.00","-0.02","-0.04","0.20","-0.01","0.14"
"","Javier Otero","ORL","2025","99","0.01","0.01","-0.00","-0.04","0.13","0.01","0.11"
"","Joe Willis","NSH","2025","1413","0.00","0.13","-0.24","-0.36","0.63","-0.05","0.11"
"","Evan Bush","CLB","2025","97","0.00","0.02","-0.00","-0.02","0.03","0.00","0.04"
"","Nicolas Defreitas-Hansen","COL","2025","197","0.02","0.01","-0.03","0.00","-0.02","0.02","0.00"
"","Novak Micovic","LAG","2025","300","-0.08","0.04","-0.07","-0.02","0.43","-0.32","-0.02"
"","Andrew Rick","PHI","2025","504","0.01","0.04","-0.11","-0.07","0.13","-0.02","-0.02"
"","Ben Lundt","STL","2025","916","0.01","0.03","-0.01","-0.02","-0.15","0.10","-0.03"
"","Drake Callender","MIA","2025","216","0.00","0.00","-0.10","-0.00","-0.05","0.02","-0.13"
"","AJ Marcucci","NYRB","2025","103","0.00","0.01","0.04","0.03","-0.25","-0.01","-0.18"
"","Jeffrey Gal","CHI","2025","162","0.01","0.01","-0.01","-0.03","0.12","-0.29","-0.19"
"","Jimmy Maurer","HOU","2025","136","0.00","0.01","-0.06","0.00","-0.29","0.05","-0.28"
"","Alec Smir","MIN","2025","102","0.00","0.01","-0.04","-0.02","-0.43","0.01","-0.48"
"","Andrew Tarbell","HOU","2025","330","0.00","0.03","0.03","-0.04","-0.71","0.14","-0.55"
"","Kristijan Kahlina","CLT","2025","1412","0.02","0.07","-0.38","-0.14","0.37","-0.49","-0.55"
"","Kim Joon-Hong","DCU","2025","707","0.01","0.05","-0.06","0.21","-1.02","-0.02","-0.82"
"","Maxime Crépeau","POR","2025","494","-0.02","0.05","-0.05","-0.06","-0.92","0.12","-0.88"
"","Maarten Paes","FCD","2025","1104","0.06","0.10","-0.33","-0.11","-0.79","-0.05","-1.12"
"","Jonathan Bond","HOU","2025","608","0.02","-0.61","0.11","-0.02","-0.85","0.02","-1.33"
"","Hugo Lloris","LAFC","2025","1321","-0.27","-0.20","-0.02","-0.07","-1.37","0.19","-1.73"
"","John Pulskamp","SKC","2025","1408","-0.03","-0.14","-0.21","-0.03","-1.30","-0.03","-1.74"
"","Sebastian Breza","MTL","2025","197","0.03","0.01","0.01","-0.00","-2.28","0.01","-2.22"
"","Andrew Thomas","SEA","2025","200","-0.20","-0.00","-0.10","-0.07","-2.04","0.02","-2.39"
"","Thomas Hasal","LAFC","2025","100","0.00","0.00","0.01","0.00","-2.36","-0.10","-2.44"
"","Óscar Ustari","MIA","2025","934","0.01","-0.01","-0.25","-0.13","-2.57","0.30","-2.65"
"","Earl Edwards Jr.","SJE","2025","241","0.00","0.01","0.01","-0.05","-3.90","0.01","-3.92"
"","John McCarthy","LAG","2025","1113","0.09","0.13","0.09","-0.26","-4.13","-0.33","-4.41"
