"","Player","Team","Season","Minutes","Claiming","Fielding","Handling","Passing","Shotstopping","Sweeping","Goals Added"
"","Carlos Merancio Valdez","SPK","2025","905","0.01","0.05","-0.18","-0.04","4.93","0.03","4.79"
"","Matt Levy","CLT","2025","806","0.04","0.03","-0.15","-0.11","3.05","0.10","2.96"
"","Hunter Morse","POR","2025","502","0.05","0.02","0.04","-0.05","1.79","0.04","1.90"
"","Javier Garcia","TXO","2025","203","0.01","0.00","-0.20","-0.03","1.47","0.13","1.39"
"","Denzil Smith","AVA","2025","255","0.07","0.01","-0.09","-0.02","1.00","0.03","1.01"
"","Edward Delgado","FCN","2025","814","0.03","0.06","-0.00","-0.24","0.91","0.02","0.77"
"","Rashid Nuhu","OMA","2025","408","0.01","0.03","-0.23","-0.08","0.47","0.00","0.21"
"","Cole Jensen","OMA","2025","100","0.00","0.00","-0.03","-0.03","0.20","0.00","0.15"
"","Sean Lewis","KNX","2025","302","0.00","0.00","-0.18","-0.02","0.41","-0.09","0.13"
"","Bernd Schipmann","MAD","2025","303","0.01","0.02","-0.11","-0.14","0.30","0.00","0.07"
"","Tony Halterman","FCN","2025","91","0.00","0.00","0.00","-0.00","0.08","-0.33","-0.24"
"","Johan Garibay","KNX","2025","401","0.04","0.02","-0.02","-0.16","-0.26","0.02","-0.37"
"","Andrew Hammersley","WES","2025","205","0.02","0.01","-0.92","0.04","0.41","0.04","-0.40"
"","Jason Smith","CHA","2025","726","0.06","0.07","0.01","-0.02","-0.52","-0.01","-0.41"
"","Gunther Rankenburg","GVL","2025","804","0.00","0.02","-0.08","0.00","-0.49","0.05","-0.50"
"","Austin Pack","TRM","2025","717","-0.00","-0.27","-0.12","-0.06","-0.08","-0.03","-0.57"
"","Joel Serrano","FCN","2025","8","0.00","0.00","0.05","-0.00","-0.64","0.00","-0.59"
"","Carlos Avilez","AVA","2025","463","0.05","-0.63","-0.07","0.07","-0.14","0.05","-0.67"
"","James Sneddon","RIC","2025","1020","-0.01","-0.12","0.00","0.12","-0.73","0.04","-0.69"
"","Wallis Lapsley","MAD","2025","405","-0.16","0.01","0.15","0.02","-0.89","0.02","-0.83"
"","Kashope Oladapo","POR","2025","105","0.03","0.00","0.00","-0.04","-0.77","-0.08","-0.87"
"","Dane Jacomen","WES","2025","510","0.02","-0.07","-0.01","0.06","-1.26","-0.19","-1.45"
"","Russell Shealy","OMA","2025","99","0.00","-0.02","-0.05","0.00","-1.42","0.00","-1.48"
"","Mason McCready","TXO","2025","599","0.01","0.02","0.21","-0.01","-3.14","0.15","-2.76"
