Player,Team,Position,Minutes,Goals Added,League,Goals Added p90
Hugo Cuypers,CHI,ST,1182,3.54,MLS,0.26954314720812184
Lionel Messi,MIA,ST,952,3.43,MLS,0.32426470588235295
Dénis Bouanga,LAFC,W,1246,2.99,MLS,0.21597110754414128
Noah Eile,NYRB,CB,1354,2.8,MLS,0.1861152141802068
Cristian Espinoza,SJE,FB,1304,2.21,MLS,0.15253067484662575
Sam Surridge,NSH,ST,1333,2.09,MLS,0.14111027756939232
Andrew Gutman,CHI,FB,1178,1.84,MLS,0.1405772495755518
Yevhen Cheberko,CLB,CB,1023,1.8,MLS,0.15835777126099707
Christian Benteke,DCU,ST,1009,1.8,MLS,0.1605550049554014
Evander,CIN,AM,1057,1.58,MLS,0.13453169347209082
Christopher McVey,SD,CB,1417,1.58,MLS,0.10035285815102328
Kelvin Yeboah,MIN,ST,997,1.54,MLS,0.13901705115346039
Anders Dreyer,SD,W,1366,1.53,MLS,0.10080527086383603
Alexander Freeman,ORL,FB,1355,1.49,MLS,0.09896678966789667
Brian White,VAN,ST,981,1.49,MLS,0.136697247706422
Luciano Acosta,FCD,AM,1220,1.45,MLS,0.1069672131147541
Hirving Lozano,SD,W,878,1.45,MLS,0.14863325740318906
Jack Elliott,CHI,CB,1218,1.33,MLS,0.09827586206896553
Bruno Damiani,PHI,ST,743,1.32,MLS,0.15989232839838494
Albert Rusnák,SEA,W,1003,1.31,MLS,0.11754735792622134
Adilson Malanda,CLT,CB,1412,1.31,MLS,0.0834985835694051
Max Arfsten,CLB,FB,1296,1.24,MLS,0.08611111111111111
Andrew Privett,CLT,CB,1117,1.24,MLS,0.09991047448522829
Pedrinho,FCD,W,508,1.22,MLS,0.21614173228346456
Brian Gutiérrez,CHI,CM,816,1.21,MLS,0.13345588235294117
Luis Muriel,ORL,ST,1110,1.21,MLS,0.0981081081081081
Ryan Hollingshead,LAFC,FB,1024,1.18,MLS,0.10371093749999999
Djordje Mihailovic,COL,W,1380,1.17,MLS,0.07630434782608696
Alonso Martínez,NYC,ST,1257,1.16,MLS,0.08305489260143198
Miguel Almirón,ATL,W,1284,1.11,MLS,0.07780373831775701
Keaton Parks,NYC,DM,915,1.07,MLS,0.10524590163934427
Quinn Sullivan,PHI,W,1209,1.05,MLS,0.07816377171215881
